Time,actual,predicted,error,0-11,11-21 slab,21-31 slab,31-41 slba,41-51 slab,moee than 51 slab'
,,,,1345,794,657,574,490,1799
,,,,23.76745008,14.03074748,11.60982506,10.14313483,8.658773635,31.79006892
"01/04/2023, 00:30",1.167860985,1.794141692,53.62630612,0,0,0,0,0,0
"01/04/2023, 00:45",1.243268013,1.240956295,0.185938866,1,1,0,0,0,0
"01/04/2023, 01:00",1.417953014,1.294642049,8.696406992,1,0,0,0,0,0
"01/04/2023, 01:15",1.174332023,1.325023407,12.83209353,0,0,0,0,0,0
"01/04/2023, 01:30",1.230833054,1.210449448,1.656082089,1,0,0,0,0,0
"01/04/2023, 01:45",1.292022943,1.268321186,1.83446872,1,0,0,0,0,0
"01/04/2023, 02:00",1.241639018,1.285291713,3.515731611,1,0,0,0,0,0
"01/04/2023, 02:15",1.283342957,1.2806241,0.211857363,1,0,0,0,0,0
"01/04/2023, 02:30",1.306161046,1.322427952,1.245398219,1,0,0,0,0,0
"01/04/2023, 02:45",1.267794013,1.226921263,3.223926713,1,0,0,0,0,0
"01/04/2023, 03:00",1.326135039,1.263803205,4.700262976,1,0,0,0,0,0
"01/04/2023, 03:15",1.226950049,1.221981263,0.404970512,1,0,0,0,0,0
"01/04/2023, 03:30",1.138051987,1.231963814,8.251980368,1,1,0,0,0,0
"01/04/2023, 03:45",1.237805963,1.221439057,1.322251313,1,0,0,0,0,0
"01/04/2023, 04:00",1.399088979,1.559597314,11.47234643,0,0,1,0,0,0
"01/04/2023, 04:15",1.340322018,1.261755484,5.861765497,1,0,0,0,0,0
"01/04/2023, 04:30",1.019371986,1.324591392,29.94190642,0,0,0,1,0,0
"01/04/2023, 04:45",1.555750966,1.483418709,4.649346764,1,0,0,0,0,1
"01/04/2023, 05:00",3.772993088,2.530263114,32.93750995,0,0,0,0,0,1
"01/04/2023, 05:15",0.857969999,1.941324887,126.2695536,0,0,0,0,0,0
"01/04/2023, 05:30",1.713757038,2.702524939,57.69592067,0,1,0,0,0,0
"01/04/2023, 05:45",3.310321093,3.003668286,9.263536631,1,0,1,0,0,0
"01/04/2023, 06:00",2.813919067,3.233378047,14.90657584,0,0,0,0,0,0
"01/04/2023, 06:15",7.090310097,5.271566719,25.65111191,0,0,0,0,0,1
"01/04/2023, 06:30",3.328133106,3.520145995,5.769387296,1,0,0,0,0,1
"01/04/2023, 06:45",2.165416956,3.415349275,57.72247768,0,0,0,0,0,1
"01/04/2023, 07:00",8.866902351,2.069245869,76.66326089,0,0,0,0,0,0
"01/04/2023, 07:15",0.98497802,3.592016727,264.6798866,0,0,0,0,0,0
"01/04/2023, 07:30",3.020621061,3.036899431,0.538908055,1,0,0,0,0,0
"01/04/2023, 07:45",-1.117071033,4.136823029,-470.327661,1,0,0,0,0,0
"01/04/2023, 08:00",-1.117071033,3.199982579,-386.4618708,1,0,0,1,0,0
"01/04/2023, 08:15",4.33849287,4.267616558,1.633662056,1,0,0,0,0,1
"01/04/2023, 08:30",2.745970964,3.722413341,35.55909331,0,0,1,0,0,0
"01/04/2023, 08:45",0.403429002,4.03109525,899.2080961,0,0,0,0,0,1
"01/04/2023, 09:00",3.706651926,4.643456516,25.27360563,0,1,0,0,0,0
"01/04/2023, 09:15",8.244085312,4.00609045,51.40648964,0,0,0,0,0,1
"01/04/2023, 09:30",6.55302,5.311469054,18.94624075,0,0,0,0,1,0
