Time,actual,predicted,error,0-11,Nov-21,21-31,31-41,41-51,51 and more
"31/08/2022, 19:15",7.505971909,6.180006552,17.66547189,0,1,0,0,0,0
"31/08/2022, 19:30",0.088992998,5.132901442,5667.758765,0,0,0,0,0,1
"31/08/2022, 19:45",4.653456211,5.622856522,20.83183481,0,1,0,0,0,0
"31/08/2022, 20:00",4.193602085,5.812069011,38.59371711,0,0,0,1,0,0
"31/08/2022, 20:15",6.338044167,3.022397888,52.31339814,0,0,0,0,0,1
"31/08/2022, 20:30",6.338044167,4.90975619,22.53515343,0,0,1,0,0,0
"31/08/2022, 20:45",4.786769867,2.482645303,48.13526926,0,0,0,0,1,0
"31/08/2022, 21:00",8.146673203,2.618721306,67.8553289,0,0,0,0,0,1
"31/08/2022, 21:15",1.953179955,2.879860586,47.44471335,0,0,0,0,1,0
"31/08/2022, 21:30",2.619349003,4.153038394,58.55231165,0,0,0,0,0,1
"31/08/2022, 21:45",4.269754887,2.250294732,47.29686383,0,0,0,0,1,0
"31/08/2022, 22:00",4.340445042,4.156449044,4.239104436,1,0,0,0,0,0
"31/08/2022, 22:15",3.140295982,2.703765211,13.90094351,0,1,0,0,0,0
"31/08/2022, 22:30",8.764444351,5.19175899,40.76339831,0,0,0,1,0,0
"31/08/2022, 22:45",8.764444351,4.588775778,47.64327784,0,0,0,0,1,0
"31/08/2022, 23:00",5.258428097,3.872335529,26.35944702,0,0,1,0,0,0
"31/08/2022, 23:15",1.333896995,4.860759175,264.4028882,0,0,0,0,0,1
"31/08/2022, 23:30",1.333896995,3.519425523,163.8453746,0,0,0,0,0,1
"31/08/2022, 23:45",1.430961967,2.952071792,106.2998081,0,0,0,0,0,1
"01/09/2022, 00:00",-0.030751999,3.050493562,-10019.65941,0,0,0,0,0,1
"01/09/2022, 00:15",1.20589304,2.619819528,117.2514013,0,0,0,0,0,1
"01/09/2022, 00:30",1.050760984,1.379608786,31.2961565,0,0,0,1,0,0
"01/09/2022, 00:45",1.421854019,1.152938441,18.91302305,0,1,0,0,0,0
"01/09/2022, 01:00",1.331835032,1.16641562,12.42041306,0,1,0,0,0,0
"01/09/2022, 01:15",1.045529962,1.060367179,1.419109695,1,0,0,0,0,0
"01/09/2022, 01:30",1.187636018,1.088512481,8.346289221,1,0,0,0,0,0
"01/09/2022, 01:45",1.149080992,1.145990582,0.268946273,1,0,0,0,0,0
"01/09/2022, 02:00",0.922977984,1.422075758,54.07472144,0,0,0,0,0,1
"01/09/2022, 02:15",1.174419045,1.291442495,9.964369221,1,0,0,0,0,0
"01/09/2022, 02:30",0.935374022,1.112414293,18.927217,0,1,0,0,0,0
"01/09/2022, 02:45",0.852029979,1.235866207,45.04961531,0,0,0,0,1,0
